"Date","Country","FirstOrSubsequent","Count","WithinTarget","OutsideTarget","PercentWithinTarget","Standard","StandardHit","AdditionalPatients","TargetLastMet","rank"
Apr 2008,"Northern Ireland","First Treatment",658,614,44,0.933130699088146,0.98,"was NOT met",30.84,NA,"61st"
May 2008,"Northern Ireland","First Treatment",572,551,21,0.963286713286713,0.98,"was NOT met",9.55999999999995,NA,"115th"
Jun 2008,"Northern Ireland","First Treatment",623,611,12,0.980738362760835,0.98,"was met",0,NA,"168th"
Jul 2008,"Northern Ireland","First Treatment",531,513,18,0.966101694915254,0.98,"was NOT met",7.38,"Jun 2008","125th"
Aug 2008,"Northern Ireland","First Treatment",510,487,23,0.954901960784314,0.98,"was NOT met",12.8,"Jun 2008","101st"
Sep 2008,"Northern Ireland","First Treatment",555,536,19,0.965765765765766,0.98,"was NOT met",7.89999999999998,"Jun 2008","120th"
Oct 2008,"Northern Ireland","First Treatment",520,512,8,0.984615384615385,0.98,"was met",0,"Jun 2008","183rd"
Nov 2008,"Northern Ireland","First Treatment",543,532,11,0.979742173112339,0.98,"was NOT met",0.139999999999986,"Oct 2008","163rd"
Dec 2008,"Northern Ireland","First Treatment",575,564,11,0.980869565217391,0.98,"was met",0,"Oct 2008","170th"
Jan 2009,"Northern Ireland","First Treatment",621,596,25,0.959742351046699,0.98,"was NOT met",12.58,"Dec 2008","105th"
Feb 2009,"Northern Ireland","First Treatment",589,574,15,0.974533106960951,0.98,"was NOT met",3.22000000000003,"Dec 2008","150th"
Mar 2009,"Northern Ireland","First Treatment",670,661,9,0.986567164179105,0.98,"was met",0,"Dec 2008","187th"
Apr 2009,"Northern Ireland","First Treatment",621,611,10,0.98389694041868,0.98,"was met",0,"Mar 2009","180th"
May 2009,"Northern Ireland","First Treatment",603,587,16,0.97346600331675,0.98,"was NOT met",3.93999999999994,"Apr 2009","144th"
Jun 2009,"Northern Ireland","First Treatment",702,693,9,0.987179487179487,0.98,"was met",0,"Apr 2009","190th"
Jul 2009,"Northern Ireland","First Treatment",622,615,7,0.988745980707395,0.98,"was met",0,"Jun 2009","192nd"
Aug 2009,"Northern Ireland","First Treatment",598,589,9,0.98494983277592,0.98,"was met",0,"Jul 2009","185th"
Sep 2009,"Northern Ireland","First Treatment",725,704,21,0.971034482758621,0.98,"was NOT met",6.5,"Aug 2009","139th"
Oct 2009,"England","First Treatment",19182,18845,337,0.98243144614743,0.96,"was met",0,NA,"138th"
Oct 2009,"Northern Ireland","First Treatment",674,659,15,0.977744807121662,0.98,"was NOT met",1.51999999999998,"Aug 2009","157th"
Nov 2009,"England","First Treatment",18809,18472,337,0.98208304535063,0.96,"was met",0,"Oct 2009","136th"
Nov 2009,"Northern Ireland","First Treatment",664,645,19,0.971385542168675,0.98,"was NOT met",5.72000000000003,"Aug 2009","140th"
Dec 2009,"England","First Treatment",19017,18764,253,0.98669611400326,0.96,"was met",0,"Nov 2009","175th"
Dec 2009,"Northern Ireland","First Treatment",606,595,11,0.981848184818482,0.98,"was met",0,"Aug 2009","174th"
Jan 2010,"England","First Treatment",17762,17340,422,0.976241414255151,0.96,"was met",0,"Dec 2009","100th"
Jan 2010,"Northern Ireland","First Treatment",561,549,12,0.978609625668449,0.98,"was NOT met",0.779999999999973,"Dec 2009","159th"
Feb 2010,"England","First Treatment",17987,17764,223,0.987602157113471,0.96,"was met",0,"Jan 2010","177th"
Feb 2010,"Northern Ireland","First Treatment",611,599,12,0.980360065466448,0.98,"was met",0,"Dec 2009","167th"
Mar 2010,"England","First Treatment",21876,21588,288,0.986834887547998,0.96,"was met",0,"Feb 2010","176th"
Mar 2010,"Northern Ireland","First Treatment",700,686,14,0.98,0.98,"was met",0,"Feb 2010","166th"
Apr 2010,"England","First Treatment",18939,18612,327,0.98273404086805,0.96,"was met",0,"Mar 2010","142nd"
Apr 2010,"Northern Ireland","First Treatment",616,602,14,0.977272727272727,0.98,"was NOT met",1.67999999999995,"Mar 2010","156th"
May 2010,"England","First Treatment",18250,17969,281,0.984602739726027,0.96,"was met",0,"Apr 2010","156th"
May 2010,"Northern Ireland","First Treatment",620,609,11,0.982258064516129,0.98,"was met",0,"Mar 2010","178th"
Jun 2010,"England","First Treatment",20942,20599,343,0.983621430617897,0.96,"was met",0,"May 2010","148th"
Jun 2010,"Northern Ireland","First Treatment",732,714,18,0.975409836065574,0.98,"was NOT met",3.36000000000001,"May 2010","153rd"
Jul 2010,"England","First Treatment",20870,20561,309,0.985194058457115,0.96,"was met",0,"Jun 2010","163rd"
Jul 2010,"Northern Ireland","First Treatment",650,633,17,0.973846153846154,0.98,"was NOT met",4,"May 2010","145th"
Aug 2010,"England","First Treatment",20212,19882,330,0.98367306550564,0.96,"was met",0,"Jul 2010","149th"
Aug 2010,"Northern Ireland","First Treatment",628,606,22,0.964968152866242,0.98,"was NOT met",9.43999999999994,"May 2010","118th"
Sep 2010,"England","First Treatment",20782,20404,378,0.981811182754307,0.96,"was met",0,"Aug 2010","134th"
Sep 2010,"Northern Ireland","First Treatment",705,686,19,0.973049645390071,0.98,"was NOT met",4.89999999999998,"May 2010","143rd"
Oct 2010,"England","First Treatment",19959,19643,316,0.984167543464101,0.96,"was met",0,"Sep 2010","152nd"
Oct 2010,"Northern Ireland","First Treatment",645,633,12,0.981395348837209,0.98,"was met",0,"May 2010","171st"
Nov 2010,"England","First Treatment",20825,20476,349,0.983241296518607,0.96,"was met",0,"Oct 2010","145th"
Nov 2010,"Northern Ireland","First Treatment",714,696,18,0.974789915966387,0.98,"was NOT met",3.72000000000003,"Oct 2010","152nd"
Dec 2010,"England","First Treatment",18954,18676,278,0.985332911258837,0.96,"was met",0,"Nov 2010","165th"
Dec 2010,"Northern Ireland","First Treatment",633,620,13,0.979462875197472,0.98,"was NOT met",0.340000000000032,"Oct 2010","161st"
Jan 2011,"England","First Treatment",19046,18595,451,0.976320487241416,0.96,"was met",0,"Dec 2010","101st"
Jan 2011,"Northern Ireland","First Treatment",650,638,12,0.981538461538462,0.98,"was met",0,"Oct 2010","173rd"
Feb 2011,"England","First Treatment",18505,18223,282,0.984760875439071,0.96,"was met",0,"Jan 2011","157th"
Feb 2011,"Northern Ireland","First Treatment",606,595,11,0.981848184818482,0.98,"was met",0,"Jan 2011","174th"
Mar 2011,"England","First Treatment",22576,22254,322,0.985737065910702,0.96,"was met",0,"Feb 2011","171st"
Mar 2011,"Northern Ireland","First Treatment",730,716,14,0.980821917808219,0.98,"was met",0,"Feb 2011","169th"
Apr 2011,"England","First Treatment",18514,18232,282,0.984768283461165,0.96,"was met",0,"Mar 2011","158th"
Apr 2011,"Northern Ireland","First Treatment",584,574,10,0.982876712328767,0.98,"was met",0,"Mar 2011","179th"
May 2011,"England","First Treatment",20438,20013,425,0.979205401702711,0.96,"was met",0,"Apr 2011","123rd"
May 2011,"Northern Ireland","First Treatment",648,635,13,0.979938271604938,0.98,"was NOT met",0.0399999999999636,"Apr 2011","165th"
Jun 2011,"England","First Treatment",22175,21821,354,0.984036076662909,0.96,"was met",0,"May 2011","151st"
Jun 2011,"Northern Ireland","First Treatment",790,772,18,0.977215189873418,0.98,"was NOT met",2.19999999999993,"Apr 2011","155th"
Jul 2011,"England","First Treatment",20529,20229,300,0.98538652637732,0.96,"was met",0,"Jun 2011","166th"
Jul 2011,"Northern Ireland","First Treatment",645,633,12,0.981395348837209,0.98,"was met",0,"Apr 2011","171st"
Aug 2011,"England","First Treatment",21581,21234,347,0.983921041657013,0.96,"was met",0,"Jul 2011","150th"
Aug 2011,"Northern Ireland","First Treatment",679,663,16,0.976435935198822,0.98,"was NOT met",2.41999999999996,"Jul 2011","154th"
Sep 2011,"England","First Treatment",21235,20864,371,0.982528843889805,0.96,"was met",0,"Aug 2011","139th"
Sep 2011,"Northern Ireland","First Treatment",664,652,12,0.981927710843373,0.98,"was met",0,"Jul 2011","177th"
Oct 2011,"England","First Treatment",20817,20490,327,0.98429168468079,0.96,"was met",0,"Sep 2011","154th"
Oct 2011,"Northern Ireland","First Treatment",713,692,21,0.97054698457223,0.98,"was NOT met",6.74000000000001,"Sep 2011","135th"
Nov 2011,"England","First Treatment",22310,21964,346,0.984491259524877,0.96,"was met",0,"Oct 2011","155th"
Nov 2011,"Northern Ireland","First Treatment",749,728,21,0.97196261682243,0.98,"was NOT met",6.01999999999998,"Sep 2011","141st"
Dec 2011,"England","First Treatment",20150,19880,270,0.986600496277916,0.96,"was met",0,"Nov 2011","173rd"
Dec 2011,"Northern Ireland","First Treatment",646,633,13,0.979876160990712,0.98,"was NOT met",0.0800000000000409,"Sep 2011","164th"
Jan 2012,"England","First Treatment",21042,20640,402,0.980895352152837,0.96,"was met",0,"Dec 2011","132nd"
Jan 2012,"Northern Ireland","First Treatment",736,698,38,0.948369565217391,0.98,"was NOT met",23.28,"Sep 2011","85th"
