"Date","Country","Factor","RefRoute","Count","WithinTarget","OutsideTarget","PercentWithinTarget","Standard","StandardHit","AdditionalPatients","TargetLastMet","rank"
Oct 2009,"England","Breast","Urgent Suspected Cancer",1566,1510,"56",0.964240102171137,0.85,"was met",0,NA,"124th"
Nov 2009,"England","Breast","Urgent Suspected Cancer",1540,1497,"43",0.972077922077922,0.85,"was met",0,"Oct 2009","143rd"
Dec 2009,"England","Breast","Urgent Suspected Cancer",1596,1567,"29",0.981829573934837,0.85,"was met",0,"Nov 2009","177th"
Jan 2010,"England","Breast","Urgent Suspected Cancer",1364,1319,"45",0.967008797653959,0.85,"was met",0,"Dec 2009","130th"
Feb 2010,"England","Breast","Urgent Suspected Cancer",1498,1463,"35",0.976635514018692,0.85,"was met",0,"Jan 2010","161st"
Mar 2010,"England","Breast","Urgent Suspected Cancer",1828,1799,"29",0.984135667396061,0.85,"was met",0,"Feb 2010","180th"
Apr 2010,"England","Breast","Urgent Suspected Cancer",1534,1497,"37",0.975880052151239,0.85,"was met",0,"Mar 2010","158th"
May 2010,"England","Breast","Urgent Suspected Cancer",1490,1460,"30",0.979865771812081,0.85,"was met",0,"Apr 2010","171st"
Jun 2010,"England","Breast","Urgent Suspected Cancer",1743,1702,"41",0.976477337923121,0.85,"was met",0,"May 2010","160th"
Jul 2010,"England","Breast","Urgent Suspected Cancer",1846,1795,"51",0.97237269772481,0.85,"was met",0,"Jun 2010","145th"
Aug 2010,"England","Breast","Urgent Suspected Cancer",1776,1730,"46",0.974099099099099,0.85,"was met",0,"Jul 2010","151st"
Sep 2010,"England","Breast","Urgent Suspected Cancer",1816,1760,"56",0.969162995594714,0.85,"was met",0,"Aug 2010","135th"
Oct 2010,"England","Breast","Urgent Suspected Cancer",1679,1622,"57",0.96605122096486,0.85,"was met",0,"Sep 2010","128th"
Nov 2010,"England","Breast","Urgent Suspected Cancer",1652,1603,"49",0.970338983050847,0.85,"was met",0,"Oct 2010","137th"
Dec 2010,"England","Breast","Urgent Suspected Cancer",1512,1470,"42",0.972222222222222,0.85,"was met",0,"Nov 2010","144th"
Jan 2011,"England","Breast","Urgent Suspected Cancer",1436,1390,"46",0.967966573816156,0.85,"was met",0,"Dec 2010","133rd"
Feb 2011,"England","Breast","Urgent Suspected Cancer",1538,1498,"40",0.973992197659298,0.85,"was met",0,"Jan 2011","150th"
Mar 2011,"England","Breast","Urgent Suspected Cancer",1852,1810,"42",0.97732181425486,0.85,"was met",0,"Feb 2011","164th"
Apr 2011,"England","Breast","Urgent Suspected Cancer",1531,1498,"33",0.978445460483344,0.85,"was met",0,"Mar 2011","168th"
May 2011,"England","Breast","Urgent Suspected Cancer",1666,1621,"45",0.972989195678271,0.85,"was met",0,"Apr 2011","147th"
Jun 2011,"England","Breast","Urgent Suspected Cancer",1914,1842,"72",0.962382445141066,0.85,"was met",0,"May 2011","119th"
Jul 2011,"England","Breast","Urgent Suspected Cancer",1636,1590,"46",0.971882640586797,0.85,"was met",0,"Jun 2011","141st"
Aug 2011,"England","Breast","Urgent Suspected Cancer",1733,1694,"39",0.977495672244662,0.85,"was met",0,"Jul 2011","167th"
Sep 2011,"England","Breast","Urgent Suspected Cancer",1662,1620,"42",0.974729241877256,0.85,"was met",0,"Aug 2011","153rd"
