"Date","Country","RefRoute","Count","WithinTarget","OutsideTarget","PercentWithinTarget","Standard","StandardHit","AdditionalPatients","TargetLastMet","rank"
Oct 2009,"England","Urgent Suspected Cancer",8025,6843,"1182",0.852710280373832,0.85,"was met",0,NA,"130th"
Nov 2009,"England","Urgent Suspected Cancer",7913,6818,"1095",0.861620118791862,0.85,"was met",0,"Oct 2009","141st"
Dec 2009,"England","Urgent Suspected Cancer",8147,7197,"950",0.883392659874801,0.85,"was met",0,"Nov 2009","172nd"
Jan 2010,"England","Urgent Suspected Cancer",7365,6272,"1093",0.851595383570944,0.85,"was met",0,"Dec 2009","129th"
Feb 2010,"England","Urgent Suspected Cancer",7431,6366,"1065",0.85668146951958,0.85,"was met",0,"Jan 2010","133rd"
Mar 2010,"England","Urgent Suspected Cancer",9354,8295,"1059",0.886786401539448,0.85,"was met",0,"Feb 2010","175th"
Apr 2010,"England","Urgent Suspected Cancer",8193,7169,"1024",0.875015256926645,0.85,"was met",0,"Mar 2010","159th"
May 2010,"England","Urgent Suspected Cancer",7870,6874,"996",0.873443456162643,0.85,"was met",0,"Apr 2010","158th"
Jun 2010,"England","Urgent Suspected Cancer",9121,8006,"1115",0.877754632167525,0.85,"was met",0,"May 2010","164th"
Jul 2010,"England","Urgent Suspected Cancer",9148,8016,"1132",0.876257105378225,0.85,"was met",0,"Jun 2010","163rd"
Aug 2010,"England","Urgent Suspected Cancer",8934,7771,"1163",0.869823147526304,0.85,"was met",0,"Jul 2010","150th"
Sep 2010,"England","Urgent Suspected Cancer",9094,7862,"1232",0.864526061139213,0.85,"was met",0,"Aug 2010","143rd"
Oct 2010,"England","Urgent Suspected Cancer",8529,7340,"1189",0.860593270019932,0.85,"was met",0,"Sep 2010","140th"
Nov 2010,"England","Urgent Suspected Cancer",8874,7732,"1142",0.871309443317557,0.85,"was met",0,"Oct 2010","154th"
Dec 2010,"England","Urgent Suspected Cancer",8292,7311,"981",0.881693198263386,0.85,"was met",0,"Nov 2010","170th"
Jan 2011,"England","Urgent Suspected Cancer",7905,6653,"1252",0.841619228336496,0.85,"was NOT met",66.2499999999994,"Dec 2010","120th"
Feb 2011,"England","Urgent Suspected Cancer",7812,6648,"1164",0.85099846390169,0.85,"was met",0,"Dec 2010","127th"
Mar 2011,"England","Urgent Suspected Cancer",9826,8738,"1088",0.889273356401384,0.85,"was met",0,"Feb 2011","176th"
Apr 2011,"England","Urgent Suspected Cancer",8281,7304,"977",0.882019079821278,0.85,"was met",0,"Mar 2011","171st"
May 2011,"England","Urgent Suspected Cancer",9015,7745,"1270",0.859123682750971,0.85,"was met",0,"Apr 2011","138th"
Jun 2011,"England","Urgent Suspected Cancer",9831,8430,"1401",0.857491608178212,0.85,"was met",0,"May 2011","136th"
Jul 2011,"England","Urgent Suspected Cancer",9223,8025,"1198",0.87010734034479,0.85,"was met",0,"Jun 2011","151st"
Aug 2011,"England","Urgent Suspected Cancer",9769,8554,"1215",0.875626983314566,0.85,"was met",0,"Jul 2011","162nd"
Sep 2011,"England","Urgent Suspected Cancer",9537,8312,"1225",0.87155289923456,0.85,"was met",0,"Aug 2011","155th"
Oct 2011,"England","Urgent Suspected Cancer",9150,7942,"1208",0.867978142076503,0.85,"was met",0,"Sep 2011","147th"
Nov 2011,"England","Urgent Suspected Cancer",9871,8681,"1190",0.879444838415561,0.85,"was met",0,"Oct 2011","167th"
Dec 2011,"England","Urgent Suspected Cancer",9168,8155,"1013",0.889506980802792,0.85,"was met",0,"Nov 2011","177th"
Jan 2012,"England","Urgent Suspected Cancer",9218,7978,"1240",0.865480581471035,0.85,"was met",0,"Dec 2011","144th"
Feb 2012,"England","Urgent Suspected Cancer",8839,7630,"1209",0.863219821246747,0.85,"was met",0,"Jan 2012","142nd"
Mar 2012,"England","Urgent Suspected Cancer",9758,8643,"1115",0.885734781717565,0.85,"was met",0,"Feb 2012","174th"
Apr 2012,"England","Urgent Suspected Cancer",9031,7957,"1074",0.88107629276935,0.85,"was met",0,"Mar 2012","169th"
May 2012,"England","Urgent Suspected Cancer",10661,9308,"1353",0.873088828440109,0.85,"was met",0,"Apr 2012","156th"
Jun 2012,"England","Urgent Suspected Cancer",8765,7605,"1160",0.867655447803765,0.85,"was met",0,"May 2012","146th"
Jul 2012,"England","Urgent Suspected Cancer",10239,8917,"1322",0.870885828694208,0.85,"was met",0,"Jun 2012","152nd"
Aug 2012,"England","Urgent Suspected Cancer",10170,8933,"1237",0.878367748279253,0.85,"was met",0,"Jul 2012","165th"
Sep 2012,"England","Urgent Suspected Cancer",9452,8192,"1260",0.866694879390605,0.85,"was met",0,"Aug 2012","145th"
Oct 2012,"England","Urgent Suspected Cancer",10534,9199,"1335",0.873267514714259,0.85,"was met",0,"Sep 2012","157th"
Nov 2012,"England","Urgent Suspected Cancer",10359,9104,"1255",0.878849309778936,0.85,"was met",0,"Oct 2012","166th"
Dec 2012,"England","Urgent Suspected Cancer",9173,8112,"1061",0.884334459827755,0.85,"was met",0,"Nov 2012","173rd"
Jan 2013,"England","Urgent Suspected Cancer",9785,8381,"1404",0.856515074093,0.85,"was met",0,"Dec 2012","132nd"
Feb 2013,"England","Urgent Suspected Cancer",8967,7664,"1303",0.854689416750307,0.85,"was met",0,"Jan 2013","131st"
Mar 2013,"England","Urgent Suspected Cancer",9392,8260,"1132",0.879471890971039,0.85,"was met",0,"Feb 2013","168th"
Apr 2013,"England","Urgent Suspected Cancer",9871,8600,"1271",0.871238982879141,0.85,"was met",0,"Mar 2013","153rd"
May 2013,"England","Urgent Suspected Cancer",10135,8706,"1429",0.859003453379378,0.85,"was met",0,"Apr 2013","137th"
Jun 2013,"England","Urgent Suspected Cancer",9634,8431,"1203",0.875129748806311,0.85,"was met",0,"May 2013","160th"
Jul 2013,"England","Urgent Suspected Cancer",11075,9622,"1453",0.868803611738149,0.85,"was met",0,"Jun 2013","148th"
Aug 2013,"England","Urgent Suspected Cancer",10151,8884,"1267",0.875184710865925,0.85,"was met",0,"Jul 2013","161st"
Sep 2013,"England","Urgent Suspected Cancer",10419,8933,"1486",0.857375947787696,0.85,"was met",0,"Aug 2013","135th"
Oct 2013,"England","Urgent Suspected Cancer",11230,9545,"1685",0.849955476402493,0.85,"was NOT met",0.499999999999323,"Sep 2013","125th"
Nov 2013,"England","Urgent Suspected Cancer",10288,8754,"1534",0.850894245723173,0.85,"was met",0,"Sep 2013","126th"
Dec 2013,"England","Urgent Suspected Cancer",10115,8788,"1327",0.868808699950568,0.85,"was met",0,"Nov 2013","149th"
Jan 2014,"England","Urgent Suspected Cancer",10725,8959,"1766",0.835337995337995,0.85,"was NOT met",157.25,"Dec 2013","114th"
Feb 2014,"England","Urgent Suspected Cancer",9482,7953,"1529",0.838747099767981,0.85,"was NOT met",106.7,"Dec 2013","115th"
Mar 2014,"England","Urgent Suspected Cancer",10418,8929,"1489",0.857074294490305,0.85,"was met",0,"Dec 2013","134th"
Apr 2014,"England","Urgent Suspected Cancer",10315,8872,"1443",0.860106640814348,0.85,"was met",0,"Mar 2014","139th"
May 2014,"England","Urgent Suspected Cancer",10465,8728,"1737",0.834018155757286,0.85,"was NOT met",167.25,"Apr 2014","112th"
Jun 2014,"England","Urgent Suspected Cancer",10700.5,8852,"1848.5",0.827251063034438,0.85,"was NOT met",243.425,"Apr 2014","105th"
Jul 2014,"England","Urgent Suspected Cancer",11678,9830,"1848",0.841753724952903,0.85,"was NOT met",96.2999999999996,"Apr 2014","122nd"
Aug 2014,"England","Urgent Suspected Cancer",10143,8531,"1612",0.841072660948437,0.85,"was NOT met",90.5499999999997,"Apr 2014","119th"
Sep 2014,"England","Urgent Suspected Cancer",11049,9075,"1974",0.82134129785501,0.85,"was NOT met",316.649999999999,"Apr 2014","95th"
Oct 2014,"England","Urgent Suspected Cancer",11093,9139,"1954",0.823852880194717,0.85,"was NOT met",290.05,"Apr 2014","100th"
Nov 2014,"England","Urgent Suspected Cancer",10240,8596,"1644",0.839453125,0.85,"was NOT met",108,"Apr 2014","116th"
Dec 2014,"England","Urgent Suspected Cancer",11198,9509,"1689",0.849169494552599,0.85,"was NOT met",9.29999999999936,"Apr 2014","124th"
Jan 2015,"England","Urgent Suspected Cancer",10411,8459,"1952",0.812506003265777,0.85,"was NOT met",390.35,"Apr 2014","86th"
Feb 2015,"England","Urgent Suspected Cancer",9781,7921,"1860",0.80983539515387,0.85,"was NOT met",392.85,"Apr 2014","77th"
Mar 2015,"England","Urgent Suspected Cancer",11568,9723,"1845",0.840508298755187,0.85,"was NOT met",109.8,"Apr 2014","118th"
Apr 2015,"England","Urgent Suspected Cancer",10870,9035,"1835",0.831186752529899,0.85,"was NOT met",204.5,"Apr 2014","111th"
May 2015,"England","Urgent Suspected Cancer",10423,8462,"1961",0.81185839009882,0.85,"was NOT met",397.55,"Apr 2014","85th"
Jun 2015,"England","Urgent Suspected Cancer",11977,9744,"2233",0.813559322033898,0.85,"was NOT met",436.449999999999,"Apr 2014","87th"
Jul 2015,"England","Urgent Suspected Cancer",12175,9968,"2207",0.818726899383984,0.85,"was NOT met",380.75,"Apr 2014","93rd"
Aug 2015,"England","Urgent Suspected Cancer",10953,9054,"1899",0.826622843056697,0.85,"was NOT met",256.05,"Apr 2014","104th"
Sep 2015,"England","Urgent Suspected Cancer",11967,9757,"2210",0.81532547839893,0.85,"was NOT met",414.949999999999,"Apr 2014","91st"
Oct 2015,"England","Urgent Suspected Cancer",11705,9577,"2128",0.818197351559163,0.85,"was NOT met",372.25,"Apr 2014","92nd"
Nov 2015,"England","Urgent Suspected Cancer",11643,9717,"1926",0.83457871682556,0.85,"was NOT met",179.55,"Apr 2014","113th"
Dec 2015,"England","Urgent Suspected Cancer",11464,9760,"1704",0.851360781577111,0.85,"was met",0,"Apr 2014","128th"
Jan 2016,"England","Urgent Suspected Cancer",10724,8690,"2034",0.810331965684446,0.85,"was NOT met",425.4,"Dec 2015","80th"
Feb 2016,"England","Urgent Suspected Cancer",10906,8836,"2070",0.810196222262974,0.85,"was NOT met",434.1,"Dec 2015","78th"
Mar 2016,"England","Urgent Suspected Cancer",11434,9606,"1828",0.840125940178415,0.85,"was NOT met",112.9,"Dec 2015","117th"
Apr 2016,"England","Urgent Suspected Cancer",11552.5,9566.5,"1986",0.828089158190868,0.85,"was NOT met",253.124999999999,"Dec 2015","107th"
May 2016,"England","Urgent Suspected Cancer",11750,9570,"2180",0.814468085106383,0.85,"was NOT met",417.499999999999,"Dec 2015","90th"
Jun 2016,"England","Urgent Suspected Cancer",12515,10345,"2170",0.826608070315621,0.85,"was NOT met",292.75,"Dec 2015","103rd"
Jul 2016,"England","Urgent Suspected Cancer",11681,9606,"2075",0.822361099220957,0.85,"was NOT met",322.85,"Dec 2015","96th"
Aug 2016,"England","Urgent Suspected Cancer",12368,10240,"2128",0.827943078913325,0.85,"was NOT met",272.799999999999,"Dec 2015","106th"
Sep 2016,"England","Urgent Suspected Cancer",12081,9837,"2244",0.814253786938167,0.85,"was NOT met",431.849999999999,"Dec 2015","89th"
Oct 2016,"England","Urgent Suspected Cancer",11825,9590,"2235",0.810993657505285,0.85,"was NOT met",461.25,"Dec 2015","83rd"
Nov 2016,"England","Urgent Suspected Cancer",12808,10537,"2271",0.822688944409744,0.85,"was NOT met",349.799999999999,"Dec 2015","97th"
Dec 2016,"England","Urgent Suspected Cancer",11420,9484,"1936",0.830472854640981,0.85,"was NOT met",223,"Dec 2015","110th"
Jan 2017,"England","Urgent Suspected Cancer",11998,9561,"2437",0.7968828138023,0.85,"was NOT met",637.299999999999,"Dec 2015","72nd"
Feb 2017,"England","Urgent Suspected Cancer",10975,8760,"2215",0.798177676537585,0.85,"was NOT met",568.75,"Dec 2015","74th"
Mar 2017,"England","Urgent Suspected Cancer",13013,10805,"2208",0.830323522631215,0.85,"was NOT met",256.05,"Dec 2015","109th"
Apr 2017,"England","Urgent Suspected Cancer",10819,8970,"1849",0.829096959053517,0.85,"was NOT met",226.149999999999,"Dec 2015","108th"
May 2017,"England","Urgent Suspected Cancer",12599,10209,"2390",0.810302404952774,0.85,"was NOT met",500.149999999999,"Dec 2015","79th"
Jun 2017,"England","Urgent Suspected Cancer",12918,10405,"2513",0.805465242297569,0.85,"was NOT met",575.299999999999,"Dec 2015","75th"
Jul 2017,"England","Urgent Suspected Cancer",12534,10203,"2331",0.814025849688846,0.85,"was NOT met",450.899999999999,"Dec 2015","88th"
Aug 2017,"England","Urgent Suspected Cancer",13105,10829,"2276",0.82632582983594,0.85,"was NOT met",310.25,"Dec 2015","102nd"
Sep 2017,"England","Urgent Suspected Cancer",11978,9825,"2153",0.820253798630823,0.85,"was NOT met",356.3,"Dec 2015","94th"
Oct 2017,"England","Urgent Suspected Cancer",12464,10263,"2201",0.823411424903723,0.85,"was NOT met",331.399999999999,"Dec 2015","99th"
Nov 2017,"England","Urgent Suspected Cancer",13300,10970,"2330",0.824812030075188,0.85,"was NOT met",334.999999999999,"Dec 2015","101st"
Dec 2017,"England","Urgent Suspected Cancer",11264,9480,"1784",0.841619318181818,0.85,"was NOT met",94.3999999999992,"Dec 2015","121st"
Jan 2018,"England","Urgent Suspected Cancer",12646,10262,"2384",0.811481891507196,0.85,"was NOT met",487.1,"Dec 2015","84th"
Feb 2018,"England","Urgent Suspected Cancer",11121,9004,"2117",0.809639420915385,0.85,"was NOT met",448.85,"Dec 2015","76th"
Mar 2018,"England","Urgent Suspected Cancer",12308,10419,"1889",0.846522586935327,0.85,"was NOT met",42.7999999999991,"Dec 2015","123rd"
Apr 2018,"England","ALL ROUTES",16733,13950,"2783",0.833681945855495,NA,NA,NA,NA,NA
Apr 2018,"England","Consultant Upgrade",2660,2269,"391",0.853007518796992,NA,NA,NA,NA,NA
Apr 2018,"England","Screening",1570,1387,"183",0.88343949044586,NA,NA,NA,NA,NA
Apr 2018,"England","Urgent Suspected Cancer",12503,10294,"2209",0.82332240262337,0.85,"was NOT met",333.549999999999,"Dec 2015","98th"
May 2018,"England","ALL ROUTES",19071,15698,"3373",0.823134602275707,NA,NA,NA,NA,NA
May 2018,"England","Consultant Upgrade",2930,2486,"444",0.848464163822526,NA,NA,NA,NA,NA
May 2018,"England","Screening",1747,1542,"205",0.882655981682885,NA,NA,NA,NA,NA
May 2018,"England","Urgent Suspected Cancer",14394,11670,"2724",0.810754481033764,0.85,"was NOT met",564.9,"Dec 2015","82nd"
Jun 2018,"England","ALL ROUTES",19096,15564,"3532",0.815039798910767,NA,NA,NA,NA,NA
Jun 2018,"England","Consultant Upgrade",2922,2531,"391",0.866187542778919,NA,NA,NA,NA,NA
Jun 2018,"England","Screening",1769,1581,"188",0.893725268513284,NA,NA,NA,NA,NA
Jun 2018,"England","Urgent Suspected Cancer",14405,11452,"2953",0.795001735508504,0.85,"was NOT met",792.25,"Dec 2015","71st"
Jul 2018,"England","ALL ROUTES",19841,16012,"3829",0.807015775414546,NA,NA,NA,NA,NA
Jul 2018,"England","Consultant Upgrade",3231,2805,"426",0.868152274837512,NA,NA,NA,NA,NA
Jul 2018,"England","Screening",1938,1725,"213",0.890092879256966,NA,NA,NA,NA,NA
Jul 2018,"England","Urgent Suspected Cancer",14672,11482,"3190",0.782579062159215,0.85,"was NOT met",989.2,"Dec 2015","62nd"
Aug 2018,"England","ALL ROUTES",19365,15763,"3602",0.813994319648851,NA,NA,NA,NA,NA
Aug 2018,"England","Consultant Upgrade",2952,2553,"399",0.864837398373984,NA,NA,NA,NA,NA
Aug 2018,"England","Screening",1976,1777,"199",0.899291497975709,NA,NA,NA,NA,NA
Aug 2018,"England","Urgent Suspected Cancer",14437,11433,"3004",0.791923529819215,0.85,"was NOT met",838.449999999999,"Dec 2015","68th"
Sep 2018,"England","ALL ROUTES",17708,14252,"3456",0.804833973345381,NA,NA,NA,NA,NA
Sep 2018,"England","Consultant Upgrade",2852,2417,"435",0.847475455820477,NA,NA,NA,NA,NA
Sep 2018,"England","Screening",1916,1705,"211",0.889874739039666,NA,NA,NA,NA,NA
Sep 2018,"England","Urgent Suspected Cancer",12940,10130,"2810",0.782843894899536,0.85,"was NOT met",869,"Dec 2015","63rd"
Oct 2018,"England","ALL ROUTES",19796,15907,"3889",0.803546170943625,NA,NA,NA,NA,NA
Oct 2018,"England","Consultant Upgrade",3330,2797,"533",0.83993993993994,NA,NA,NA,NA,NA
Oct 2018,"England","Screening",2088,1826,"262",0.874521072796935,NA,NA,NA,NA,NA
Oct 2018,"England","Urgent Suspected Cancer",14378,11284,"3094",0.784810126582278,0.85,"was NOT met",937.3,"Dec 2015","64th"
Nov 2018,"England","ALL ROUTES",19346,15745,"3601",0.813863330921121,NA,NA,NA,NA,NA
Nov 2018,"England","Consultant Upgrade",3314,2837,"477",0.856065178032589,NA,NA,NA,NA,NA
Nov 2018,"England","Screening",1973,1749,"224",0.886467308667005,NA,NA,NA,NA,NA
Nov 2018,"England","Urgent Suspected Cancer",14059,11159,"2900",0.793726438580269,0.85,"was NOT met",791.15,"Dec 2015","69th"
Dec 2018,"England","ALL ROUTES",16950,14007,"2943",0.826371681415929,NA,NA,NA,NA,NA
Dec 2018,"England","Consultant Upgrade",2863,2462,"401",0.859937128885784,NA,NA,NA,NA,NA
Dec 2018,"England","Screening",1666,1479,"187",0.887755102040816,NA,NA,NA,NA,NA
Dec 2018,"England","Urgent Suspected Cancer",12421,10066,"2355",0.810401738990419,0.85,"was NOT met",491.85,"Dec 2015","81st"
Jan 2019,"England","ALL ROUTES",19450,15252,"4198",0.784164524421594,NA,NA,NA,NA,NA
Jan 2019,"England","Consultant Upgrade",3418,2860,"558",0.836746635459333,NA,NA,NA,NA,NA
Jan 2019,"England","Screening",1932,1635,"297",0.846273291925466,NA,NA,NA,NA,NA
Jan 2019,"England","Urgent Suspected Cancer",14100,10757,"3343",0.76290780141844,0.85,"was NOT met",1228,"Dec 2015","53rd"
Feb 2019,"England","ALL ROUTES",16808,13135,"3673",0.781473108043789,NA,NA,NA,NA,NA
Feb 2019,"England","Consultant Upgrade",2967,2460,"507",0.829120323559151,NA,NA,NA,NA,NA
Feb 2019,"England","Screening",1494,1261,"233",0.844042838018742,NA,NA,NA,NA,NA
Feb 2019,"England","Urgent Suspected Cancer",12347,9414,"2933",0.762452417591318,0.85,"was NOT met",1080.95,"Dec 2015","52nd"
Mar 2019,"England","ALL ROUTES",18075,14737,"3338",0.815325034578147,NA,NA,NA,NA,NA
